"","year","quarter","lms_carrier_name","mean.marketshare","median.marketshare","sd.marketshare","min.marketshare","max.marketshare","iqr.marketshare","q1.marketshare","q3.marketshare"
"157",2022,4,"Frontier Airlines, Inc.",0.7751,0.97335,0.258959391925967,0.2964,1,0.419025,0.580975,1
"158",2022,4,"Jetblue Airways Corporation",0.593273333333333,0.5615,0.174299362183737,0.325,0.9937,0.2266,0.46005,0.68665
"159",2022,4,"Southwest Airlines",0.774643323863636,0.8314,0.213639924361325,0.2341,1,0.383525,0.595425,0.97895
"160",2022,4,"Spirit Airlines, Inc.",0.587669230769231,0.566,0.158111519553082,0.328,0.9985,0.17345,0.4858,0.65925
"161",2022,4,"Sun Country Airlines",0.920283333333333,1,0.172864159578169,0.5696,1,0.035925,0.964075,1
"162",2022,4,"United Air Lines, Inc.",0.697890033222591,0.7179,0.209265090336792,0.2478,1,0.3631,0.5161,0.8792
"163",2023,1,"Alaska Airlines, Inc.",0.599692,0.57455,0.172694105922606,0.2561,0.9916,0.200425,0.4973,0.697725
"164",2023,1,"Allegiant Air LLC ",0.908339285714286,1,0.188759763315049,0.3726,1,0,1,1
"165",2023,1,"American Airlines, Inc.",0.64596460554371,0.6051,0.220554222805974,0.2506,1,0.3894,0.4619,0.8513
"166",2023,1,"Casino Express",0.82475,0.83165,0.147620749606164,0.6052,1,0.224325,0.7198,0.944125
"167",2023,1,"Compania Mexicana De Aviaci",0.547776923076923,0.5982,0.163568625525833,0.2822,0.7407,0.253,0.4265,0.6795
"168",2023,1,"Delta Air Lines, Inc.",0.587373706896552,0.5653,0.189350154917158,0.2449,1,0.228875,0.45255,0.681425
"169",2023,1,"Frontier Airlines, Inc.",0.731659375,0.7088,0.268645737296051,0.2915,1,0.49145,0.50855,1
"170",2023,1,"Jetblue Airways Corporation",0.606593333333333,0.5619,0.171136071460563,0.3441,0.9968,0.2427,0.48015,0.72285
"171",2023,1,"Southwest Airlines",0.774216941529235,0.8291,0.214835337037185,0.2696,1,0.3871,0.5913,0.9784
"172",2023,1,"Spirit Airlines, Inc.",0.5617,0.4898,0.190840801891699,0.3216,0.996,0.2331,0.4135,0.6466
"173",2023,1,"Sun Country Airlines",0.8338,0.8338,0.176211009871688,0.7092,0.9584,0.1246,0.7715,0.8961
"174",2023,1,"United Air Lines, Inc.",0.715081944444444,0.7152,0.196887430528306,0.2449,1,0.339975,0.551825,0.8918
"175",2023,2,"Alaska Airlines, Inc.",0.610075,0.56805,0.185789678045055,0.1429,0.9885,0.20965,0.4888,0.69845
"176",2023,2,"Allegiant Air LLC ",0.86958947368421,1,0.213882823964941,0.3226,1,0.2487,0.7513,1
"177",2023,2,"American Airlines, Inc.",0.661118604651163,0.62765,0.217943860691158,0.2248,1,0.3981,0.4786,0.8767
"178",2023,2,"Casino Express",0.728566666666667,0.6977,0.243581351913483,0.3238,1,0.4304,0.5179,0.9483
"179",2023,2,"Compania Mexicana De Aviaci",0.586611764705882,0.5481,0.211230455455512,0.2756,1,0.27,0.46065,0.73065
"180",2023,2,"Delta Air Lines, Inc.",0.591470464135021,0.5524,0.187046080079452,0.2549,1,0.2092,0.4699,0.6791
"181",2023,2,"Frontier Airlines, Inc.",0.764721212121212,0.795,0.253357021756818,0.2815,1,0.4686,0.5314,1
"182",2023,2,"Jetblue Airways Corporation",0.608573170731707,0.5649,0.167845814791161,0.3314,0.9977,0.189475,0.492925,0.6824
"183",2023,2,"Southwest Airlines",0.780587896253602,0.8501,0.211903478184885,0.2581,1,0.37705,0.604425,0.981475
"184",2023,2,"Spirit Airlines, Inc.",0.595651724137931,0.5504,0.213238157635826,0.3053,1,0.2988,0.4208,0.7196
"185",2023,2,"Sun Country Airlines",0.7784,0.9652,0.354112524489039,0.37,1,0.315,0.6676,0.9826
"186",2023,2,"United Air Lines, Inc.",0.706028571428571,0.7284,0.204872304177279,0.2502,1,0.3483,0.5323,0.8806
"187",2023,3,"Alaska Airlines, Inc.",0.620544897959184,0.5919,0.177893944366234,0.3542,0.9894,0.2205,0.4972,0.7177
"188",2023,3,"Allegiant Air LLC ",0.850866666666667,1,0.227253827001422,0.2631,1,0.235975,0.764025,1
"189",2023,3,"American Airlines, Inc.",0.677544748858448,0.64785,0.218486403930175,0.2257,1,0.412675,0.496875,0.90955
"190",2023,3,"Casino Express",0.780477777777778,0.8374,0.177850560708828,0.5192,1,0.2677,0.6673,0.935
"191",2023,3,"Compania Mexicana De Aviaci",0.603534285714286,0.5825,0.231635733226899,0.2563,1,0.38445,0.4237,0.80815
"192",2023,3,"Delta Air Lines, Inc.",0.614100431034483,0.5675,0.189925247654921,0.2705,1,0.23195,0.4814,0.71335
"193",2023,3,"Frontier Airlines, Inc.",0.701966666666667,0.7171,0.237803910207854,0.3345,1,0.47675,0.5003,0.97705
"194",2023,3,"Jetblue Airways Corporation",0.627145679012346,0.6134,0.180712613733369,0.2577,1,0.268,0.4948,0.7628
"195",2023,3,"Southwest Airlines",0.78343707250342,0.8491,0.211210305260904,0.2582,1,0.3655,0.6143,0.9798
"196",2023,3,"Spirit Airlines, Inc.",0.611157142857143,0.5412,0.190725840523476,0.3524,0.9987,0.23675,0.487025,0.723775
"197",2023,3,"United Air Lines, Inc.",0.711712371134021,0.7116,0.200004135262972,0.2786,1,0.32625,0.56415,0.8904
"198",2023,4,"Alaska Airlines, Inc.",0.6086,0.555,0.163933647505061,0.3377,0.9919,0.17075,0.5033,0.67405
"199",2023,4,"Allegiant Air LLC ",0.878675510204082,1,0.20397288783338,0.4067,1,0.2007,0.7993,1
"200",2023,4,"American Airlines, Inc.",0.672577680525164,0.6385,0.211120191781699,0.2484,1,0.3838,0.5062,0.89
"201",2023,4,"Casino Express",0.817,0.9067,0.186250661445507,0.4954,1,0.305025,0.65665,0.961675
"202",2023,4,"Compania Mexicana De Aviaci",0.617019047619048,0.6192,0.196522343816289,0.2873,0.9124,0.2761,0.4916,0.7677
"203",2023,4,"Delta Air Lines, Inc.",0.612464210526316,0.5549,0.188098147529078,0.2589,1,0.218625,0.4934,0.712025
"204",2023,4,"Frontier Airlines, Inc.",0.654088888888889,0.61635,0.226675211776645,0.3599,1,0.3622,0.469625,0.831825
"205",2023,4,"Jetblue Airways Corporation",0.591824358974359,0.5631,0.166679233264171,0.3177,0.9567,0.209725,0.47565,0.685375
"206",2023,4,"Southwest Airlines",0.782572860962567,0.85445,0.215710570874458,0.2711,1,0.380875,0.60305,0.983925
"207",2023,4,"Spirit Airlines, Inc.",0.591186956521739,0.513,0.189743626804811,0.3549,0.9992,0.2558,0.46305,0.71885
"208",2023,4,"Sun Country Airlines",0.728575,0.8052,0.32527534361932,0.3039,1,0.415075,0.55935,0.974425
"209",2023,4,"United Air Lines, Inc.",0.713828571428571,0.70935,0.202052836329862,0.2671,1,0.3657,0.536525,0.902225
