"","year","quarter","statecode1","mean.passengers","median.passengers","sd.passengers","min.passengers","max.passengers","iqr.passengers","q1.passengers","q3.passengers"
"264",2020,3,"NM",42.4166666666667,35,39.41961183347,0,154,31.25,18,49.25
"265",2020,3,"NV",241.851851851852,177,241.949407251838,0,873,345.5,31,376.5
"266",2020,3,"NY",62.1418918918919,15.5,116.925175802872,0,646,56.25,1,57.25
"267",2020,3,"OH",63.8671875,33.5,73.9280743338059,0,323,87.25,6,93.25
"268",2020,3,"OK",54.1428571428571,33,47.5093975666168,17,150,46.5,21.5,68
"269",2020,3,"OR",72.7368421052632,49,84.1109334320278,0,272,80,13,93
"270",2020,3,"PA",132,56,129.602812040823,16,343,216.75,29.25,246
"271",2020,3,"SC",37.8181818181818,27.5,39.1884372643512,0,133,53.75,5.5,59.25
"272",2020,3,"TN",57.0227272727273,39,69.7678838076207,0,294,64.25,12.5,76.75
"273",2020,3,"TX",126.063545150502,82,152.223473489963,0,1484,119.5,40.5,160
"274",2020,3,"UT",160.571428571429,139,71.6143773806562,76,298,43.5,131,174.5
"275",2020,3,"VA",40.55,13,49.1136973069417,0,180,55.5,7.25,62.75
"276",2020,3,"WA",131.428571428571,149,105.498589473757,20,256,193.5,27,220.5
"277",2020,3,"WI",63.6,34,89.061615910399,0,338,58,11,69
"278",2020,3,"WY",24.0833333333333,23,22.0720239766144,0,63,28.75,3.25,32
"279",2020,4,"AL",45.64,35,38.9784983463105,1,145,50,19,69
"280",2020,4,"AR",34,19.5,34.117444218464,1,81,48,12,60
"281",2020,4,"AZ",279.542857142857,177,337.028742259831,11,1695,288.5,61,349.5
"282",2020,4,"CA",128.758620689655,35,236.67172813108,0,1617,110,12,122
"283",2020,4,"CO",377,242,340.292973321971,0,1325,385.5,130,515.5
"284",2020,4,"CT",67.5833333333333,41.5,78.9193585346153,0,230,83,8.5,91.5
"285",2020,4,"DC",136.333333333333,132,59.6182298742032,79,198,59.5,105.5,165
"286",2020,4,"FL",167.203007518797,86,218.191664403406,0,1176,175,26,201
"287",2020,4,"GA",459.756756756757,375,431.259808610219,3,1581,668,42,710
"288",2020,4,"IA",55.5384615384615,42,55.0039625612182,2,211,55,15,70
"289",2020,4,"ID",98.4285714285714,89,87.4006814669034,17,315,75.25,30.5,105.75
"290",2020,4,"IL",199.7890625,95,272.54758025247,0,1595,198.25,31.5,229.75
"291",2020,4,"IN",98.28,70,106.425451216646,1,410,110,25,135
"292",2020,4,"KY",50,48,35.7710976707653,1,114,50.5,29,79.5
"293",2020,4,"LA",105.923076923077,111,70.2761950431552,3,199,122,56,178
"294",2020,4,"MA",89.5688622754491,21,154.521666864636,0,858,80.5,9,89.5
"295",2020,4,"ME",41,31,20.8806130178211,27,65,19,29,48
"296",2020,4,"MI",155.736842105263,58.5,213.366159606986,0,823,163.25,22.5,185.75
"297",2020,4,"MN",232.846153846154,145,347.319940437691,1,1266,164,27,191
"298",2020,4,"MO",96.4642857142857,74.5,100.153024451977,0,412,112.25,19.25,131.5
"299",2020,4,"MT",34.8888888888889,30,29.2465572522837,4,78,55,6,61
"300",2020,4,"NC",150.790697674419,85,156.641166841612,0,524,198,31.5,229.5
"301",2020,4,"ND",66.3333333333333,66.5,39.510336200375,10,124,39,46.25,85.25
"302",2020,4,"NE",80,39,104.600828549937,17,311,47.5,24.5,72
"303",2020,4,"NM",52.5454545454545,35,50.1784693656431,0,226,39.5,23.5,63
"304",2020,4,"NV",268.230769230769,191,247.939235732033,2,790,430,34,464
"305",2020,4,"NY",93.1156462585034,24,178.596756977368,0,1018,91.5,2,93.5
"306",2020,4,"OH",79.4083333333333,38.5,93.1136015151108,0,375,116.25,6.75,123
"307",2020,4,"OK",85.25,56.5,74.9194011365992,32,196,50.75,45.5,96.25
"308",2020,4,"OR",74.6818181818182,63.5,82.080324400429,0,309,73.5,14.25,87.75
"309",2020,4,"PA",164,52.5,194.768238341539,14,581,224,27.5,251.5
"310",2020,4,"SC",52.7,43.5,49.9380128579935,0,200,66.5,11,77.5
"311",2020,4,"TN",88.5405405405405,63,99.5201248756012,1,418,82,18,100
"312",2020,4,"TX",162.121794871795,91,198.589328647631,0,1729,166.25,44,210.25
"313",2020,4,"UT",173.571428571429,147,64.6319248845779,101,289,66,136.5,202.5
"314",2020,4,"VA",51.0555555555556,12.5,61.5337996285946,0,188,80.5,8,88.5
"315",2020,4,"WA",143.285714285714,139,78.2724180575216,38,237,127.5,83.5,211
"316",2020,4,"WI",122.857142857143,74,136.35056358694,11,375,142,29,171
"317",2021,1,"AL",47.65,36,36.2742115152436,1,131,47.25,19.25,66.5
"318",2021,1,"AR",17.2,11,20.2410474037289,1,52,10,6,16
"319",2021,1,"AZ",295.029411764706,171,354.941863382529,4,1787,297.5,75.25,372.75
"320",2021,1,"CA",122.508130081301,28,233.373620772373,0,1786,112.5,10.25,122.75
"321",2021,1,"CO",242.478260869565,121.5,314.759995984979,0,1468,310,29.5,339.5
"322",2021,1,"CT",90.8181818181818,35,123.109559484078,0,352,119.5,8.5,128
"323",2021,1,"DC",184,205,65.0922422412994,111,236,62.5,158,220.5
"324",2021,1,"FL",215.175675675676,101.5,321.076584337358,0,1857,223.75,31.25,255
"325",2021,1,"GA",412.210526315789,327.5,404.546737212037,1,1380,663.5,44.25,707.75
"326",2021,1,"IA",106.2,85.5,90.2167759713606,28,344,61.25,57.75,119
"327",2021,1,"ID",88,66,88.2653342528607,18,315,72,21.5,93.5
